brand;file;slug;title;type_detected;pages;file_size;price_suggested;price_final;status;existing_slug;notes;description
BELL & HOWELL;bh_projector_1731-33_1742-45.pdf;bell-howell-bh-projector-1731-33-1742-45;BELL & HOWELL - bh projector 1731 33 1742 45;Unknown;53;14849710;10;10;NEW;;;
BELL & HOWELL;bh_projector_202-302.pdf;bell-howell-bh-projector-202-302;BELL & HOWELL - bh projector 202 302;Unknown;57;24010869;10;10;NEW;;;
BELL & HOWELL;bh_projector_202.pdf;bell-howell-bh-projector-202;BELL & HOWELL - bh projector 202;Unknown;46;23503727;10;10;NEW;;;
BELL & HOWELL;bh_projector_245bay-baj.pdf;bell-howell-bh-projector-245bay-baj;BELL & HOWELL - bh projector 245bay baj;Unknown;29;5152099;10;10;NEW;;;
BELL & HOWELL;bh_projector_253.pdf;bell-howell-bh-projector-253;BELL & HOWELL - bh projector 253;Unknown;24;3911201;10;10;NEW;;;
BELL & HOWELL;bh_projector_256.pdf;bell-howell-bh-projector-256;BELL & HOWELL - bh projector 256;Unknown;20;3284135;10;10;NEW;;;
BELL & HOWELL;bh_projector_2580-82.pdf;bell-howell-bh-projector-2580-82;BELL & HOWELL - bh projector 2580 82;Unknown;101;10868301;10;10;NEW;;;
BELL & HOWELL;bh_projector_266a.pdf;bell-howell-bh-projector-266a;BELL & HOWELL - bh projector 266a;Unknown;23;5033113;10;10;NEW;;;
BELL & HOWELL;bh_projector_346a.pdf;bell-howell-bh-projector-346a;BELL & HOWELL - bh projector 346a;Unknown;32;4162447;10;10;NEW;;;
BELL & HOWELL;bh_projector_356-357.pdf;bell-howell-bh-projector-356-357;BELL & HOWELL - bh projector 356 357;Unknown;32;9243386;10;10;NEW;;;
BELL & HOWELL;bh_projector_456.pdf;bell-howell-bh-projector-456;BELL & HOWELL - bh projector 456;Unknown;35;4587578;10;10;NEW;;;
BELL & HOWELL;bh_projector_467.pdf;bell-howell-bh-projector-467;BELL & HOWELL - bh projector 467;Unknown;35;4698851;10;10;NEW;;;
BELL & HOWELL;bh_projector_471.pdf;bell-howell-bh-projector-471;BELL & HOWELL - bh projector 471;Unknown;34;4673154;10;10;NEW;;;
BELL & HOWELL;bh_projector_566.pdf;bell-howell-bh-projector-566;BELL & HOWELL - bh projector 566;Unknown;72;24450170;10;10;NEW;;;
BELL & HOWELL;bh_projector_567.pdf;bell-howell-bh-projector-567;BELL & HOWELL - bh projector 567;Unknown;79;16971234;10;10;NEW;;;
BELL & HOWELL;bh_projector_cube_854a-862a.pdf;bell-howell-bh-projector-cube-854a-862a;BELL & HOWELL - bh projector cube 854a 862a;Unknown;39;4993557;10;10;NEW;;;
BELL & HOWELL;bh_projector_filmosound-wiring_diagram.pdf;bell-howell-bh-projector-filmosound-wiring-diagram;BELL & HOWELL - bh projector filmosound wiring diagram;Schema;148;45789079;5;5;NEW;;;
BELL & HOWELL;bh_projector_filmosound522.pdf;bell-howell-bh-projector-filmosound522;BELL & HOWELL - bh projector filmosound522;Unknown;53;12226390;10;10;NEW;;;
BELL & HOWELL;bh_projector_filmosound535-542.pdf;bell-howell-bh-projector-filmosound535-542;BELL & HOWELL - bh projector filmosound535 542;Unknown;111;17455375;10;10;NEW;;;
BELL & HOWELL;bh_projector_filmosound540-542.pdf;bell-howell-bh-projector-filmosound540-542;BELL & HOWELL - bh projector filmosound540 542;Unknown;48;7111070;10;10;NEW;;;
BELL & HOWELL;bh_projector_filmosound545-552.pdf;bell-howell-bh-projector-filmosound545-552;BELL & HOWELL - bh projector filmosound545 552;Unknown;110;22896486;10;10;NEW;;;
BELL & HOWELL;bh_projector_lumina2.pdf;bell-howell-bh-projector-lumina2;BELL & HOWELL - bh projector lumina2;Unknown;37;8622808;10;10;NEW;;;
BELL & HOWELL;bh_projector_monitor 950_960-1.pdf;bell-howell-bh-projector-monitor-950-960-1;BELL & HOWELL - bh projector monitor 950 960 1;Unknown;50;6763198;10;10;NEW;;;
BELL & HOWELL;bh_projector_ringmaster2.pdf;bell-howell-bh-projector-ringmaster2;BELL & HOWELL - bh projector ringmaster2;Unknown;197;25149126;10;10;NEW;;;
BESELER;beseler_projection-table_vu-lyte3 $5.pdf;beseler-beseler-projection-table-vu-lyte3-5;BESELER - beseler projection table vu lyte3;Unknown;4;6116700;5;10;NEW;;;
BESELER;da-lite_projector_vu-lyte4 $5.pdf;beseler-da-lite-projector-vu-lyte4-5;BESELER - da lite projector vu lyte4;Unknown;8;9442861;5;10;NEW;;;
BOLEX;Bolex H8 H16.pdf;bolex-bolex-h8-h16;BOLEX - Bolex H8 H16;Unknown;251;31854236;10;10;NEW;;;
BOLEX;Bolex projector SM8.pdf;bolex-bolex-projector-sm8;BOLEX - Bolex projector SM8;Unknown;202;31912428;10;10;NEW;;;
BOLEX;Bolex RX5 Notice GB $10.pdf;bolex-bolex-rx5-notice-gb-10;BOLEX - Bolex RX5 Notice GB;User Manual;16;816213;12;12;NEW;;;
BOLEX;Bolex-155-Super-Parts-Service.pdf;bolex-bolex-155-super-parts-service;BOLEX - Bolex 155 Super Parts Service;Unknown;89;28045197;10;10;NEW;;;
BOLEX;Bolex-D8L-Service-Tutorial.pdf;bolex-bolex-d8l-service-tutorial;BOLEX - Bolex D8L Service Tutorial;Unknown;30;811539;10;10;NEW;;;
BOLEX;Bolex-H16-EBM-Service.pdf;bolex-bolex-h16-ebm-service;BOLEX - Bolex H16 EBM Service;Unknown;135;57194269;10;10;NEW;;;
BOLEX;Bolex-H16-RX5-Disassembly-Tutorial.pdf;bolex-bolex-h16-rx5-disassembly-tutorial;BOLEX - Bolex H16 RX5 Disassembly Tutorial;Unknown;12;627373;10;10;NEW;;;
BOLEX;Bolex-H16-Service.pdf;bolex-bolex-h16-service;BOLEX - Bolex H16 Service;Unknown;96;56631896;10;10;NEW;;;
BOLSEY;bolsey_camera-ground_b2.pdf;bolsey-bolsey-camera-ground-b2;BOLSEY - bolsey camera ground b2;Unknown;27;4461123;10;10;NEW;;;
BOWENS;Bowens-Monolite-400BCX-Service-Manual.pdf;bowens-bowens-monolite-400bcx-service-manual;BOWENS - Bowens Monolite 400BCX Service Manual;Service Manual;15;1046754;20;20;NEW;;;
BOWENS;Bowens-Prolite-Service-Manual.pdf;bowens-bowens-prolite-service-manual;BOWENS - Bowens Prolite Service Manual;Service Manual;82;2027707;25;25;NEW;;;
BRAUN;braun_flash_460vcs.pdf;braun-braun-flash-460vcs;BRAUN - braun flash 460vcs;Unknown;35;12563534;10;10;NEW;;;
BRONICA;Bronica-150PS.pdf;bronica-bronica-150ps;BRONICA - Bronica 150PS;Unknown;10;2761327;10;10;NEW;;;
BRONICA;Bronica-150S.pdf;bronica-bronica-150s;BRONICA - Bronica 150S;Unknown;7;2094432;10;10;NEW;;;
BRONICA;Bronica-ETR-40mm-50mm-150mm-Repair.pdf;bronica-bronica-etr-40mm-50mm-150mm-repair;BRONICA - Bronica ETR 40mm 50mm 150mm Repair;Repair Manual;15;348750;15;15;NEW;;;
BRONICA;Bronica-ETR-75mm-Repair-Manual $20.pdf;bronica-bronica-etr-75mm-repair-manual-20;BRONICA - Bronica ETR 75mm Repair Manual;Repair Manual;39;941114;20;15;NEW;;;
BRONICA;Bronica-ETR-Accessories-Parts $25.pdf;bronica-bronica-etr-accessories-parts-25;BRONICA - Bronica ETR Accessories Parts;Unknown;112;2827708;25;10;NEW;;;
BRONICA;Bronica-ETR-AE-Finder-E-Repair $20.pdf;bronica-bronica-etr-ae-finder-e-repair-20;BRONICA - Bronica ETR AE Finder E Repair;Repair Manual;17;345954;20;15;NEW;;;
BRONICA;Bronica-ETR-MotorDrive-Lenses-Repair $25.pdf;bronica-bronica-etr-motordrive-lenses-repair-25;BRONICA - Bronica ETR MotorDrive Lenses Repair;Repair Manual;42;853994;25;20;NEW;;;
BRONICA;Bronica-ETR-Repair-Manual $25.pdf;bronica-bronica-etr-repair-manual-25;BRONICA - Bronica ETR Repair Manual;Repair Manual;48;897461;25;20;NEW;;;
BRONICA;Bronica-ETRS-AEII-Finder-E-Repair $20.pdf;bronica-bronica-etrs-aeii-finder-e-repair-20;BRONICA - Bronica ETRS AEII Finder E Repair;Repair Manual;27;11704587;20;15;NEW;;;
BRONICA;Bronica-ETRS-Lenses-Parts $22.pdf;bronica-bronica-etrs-lenses-parts-22;BRONICA - Bronica ETRS Lenses Parts;Unknown;22;9598516;22;10;NEW;;;
BRONICA;Bronica-ETRS-Service $25.pdf;bronica-bronica-etrs-service-25;BRONICA - Bronica ETRS Service;Unknown;106;43190228;25;10;NEW;;;
BRONICA;Bronica-etrsi-film-back-repair-manual.pdf;bronica-bronica-etrsi-film-back-repair-manual;BRONICA - Bronica etrsi film back repair manual;Repair Manual;16;2220916;15;15;NEW;;;
BRONICA;bronica-etrsi-repair-manual $25.pdf;bronica-bronica-etrsi-repair-manual-25;BRONICA - bronica etrsi repair manual;Repair Manual;60;7984377;25;20;NEW;;;
BRONICA;bronica-etr_c-repair-manual $25.pdf;bronica-bronica-etr-c-repair-manual-25;BRONICA - bronica etr c repair manual;Repair Manual;310;20580877;25;20;NEW;;;
BRONICA;bronica_c notice.pdf;bronica-bronica-c-notice;BRONICA - bronica c notice;User Manual;25;3263232;12;12;NEW;;;
BRONICA;bronica_s2 notice $10.pdf;bronica-bronica-s2-notice-10;BRONICA - bronica s2 notice;User Manual;28;3443755;12;12;NEW;;;
BRONICA;S2A_Manual notice $10.pdf;bronica-s2a-manual-notice-10;BRONICA - S2A Manual notice;User Manual;41;1842524;15;15;NEW;;;
BRONICA;Seiko-Zenzanon.pdf;bronica-seiko-zenzanon;BRONICA - Seiko Zenzanon;Unknown;32;5507729;10;10;NEW;;;
BRONICA;Zenzanon-S-to-PS-Lenses.pdf;bronica-zenzanon-s-to-ps-lenses;BRONICA - Zenzanon S to PS Lenses;Unknown;3;606483;10;10;NEW;;;
CALEB;Caleb Notice FR $10.pdf;caleb-caleb-notice-fr-10;CALEB - Caleb Notice FR;User Manual;32;2580858;15;15;NEW;;;
CALUMET;Calumet-8X10-Parts-Drawings $5.pdf;calumet-calumet-8x10-parts-drawings-5;CALUMET - Calumet 8X10 Parts Drawings;Unknown;4;152784;10;10;NEW;;;
Camera-Craftsman;Camera-Craftsman-1977-Canon-AE1.pdf;camera-craftsman-camera-craftsman-1977-canon-ae1;Camera Craftsman - 1977 Canon AE1;Service Manual;3;1530632;12;12;NEW;;;Technical article from Camera Craftsman covering repair and service procedures.
Camera-Craftsman;camera-craftsman-canon-AE-1.pdf;camera-craftsman-camera-craftsman-canon-ae-1;Camera Craftsman - canon AE 1;Service Manual;69;30230919;12;12;NEW;;;Technical article from Camera Craftsman covering repair and service procedures.
Camera-Craftsman;Camera-Craftsman-Canon-Canonet-RF-Adjust.pdf;camera-craftsman-camera-craftsman-canon-canonet-rf-adjust;Camera Craftsman - Canon Canonet RF Adjust;Service Manual;1;412385;12;12;NEW;;;Technical article from Camera Craftsman covering repair and service procedures.
Camera-Craftsman;Camera-Craftsman-Canon-F1.pdf;camera-craftsman-camera-craftsman-canon-f1;Camera Craftsman - Canon F1;Service Manual;38;12330586;12;12;NEW;;;Technical article from Camera Craftsman covering repair and service procedures.
Camera-Craftsman;Camera-Craftsman-Canon-MF-MotorDrive.pdf;camera-craftsman-camera-craftsman-canon-mf-motordrive;Camera Craftsman - Canon MF MotorDrive;Service Manual;29;10155434;12;12;NEW;;;Technical article from Camera Craftsman covering repair and service procedures.
Camera-Craftsman;Camera-Craftsman-Fujica-ST801.pdf;camera-craftsman-camera-craftsman-fujica-st801;Camera Craftsman - Fujica ST801;Service Manual;25;9032378;12;12;NEW;;;Technical article from Camera Craftsman covering repair and service procedures.
